id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1203703035737501565,Large Cozy Apartment near Acropolis free Netflix,572583955,Mate Gergo,,ΠΑΓΚΡΑΤΙ,37.96959975829691,23.748144172132015,Entire home/apt,57,3,4,2024-09-13,2.11,1,280,4,00002813750
1203707854412519543,casa Somos Suenos Room 1,4207519,Spyridoula Trimmi,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.986644,23.7366725,Entire home/apt,80,2,1,2024-09-04,1,3,351,1,00002811449
1204054806314760701,Luxurious Suite of Athens,590742236,Μυρων,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9902459,23.7280496,Entire home/apt,41,3,2,2024-08-31,1.22,1,257,2,2655669
1204062976851269527,Katerina's house near acropolis,486318004,Aikaterini,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9630717,23.7199851,Entire home/apt,53,3,0,,,1,221,0,6530964
1211687109161981177,Acropolis unique view apartment - 60 sq.m. terrace,570338395,Christoforos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9632453,23.7316349,Entire home/apt,125,2,4,2024-09-19,3.75,2,280,4,00002822747
1211744138051017711,Room in shared Apartment Athens,294246168,Valentin & Valeria,,ΠΑΤΗΣΙΑ,38.01163,23.73264,Private room,19,1,2,2024-09-08,2,2,360,2,00001588600
1211993545619248114,The 'it' Pangrati Hideout,559183941,Properteazy,,ΠΑΓΚΡΑΤΙ,37.9731158,23.7479246,Entire home/apt,48,2,0,,,1,265,0,00002797659
1212022001667029891,*Kosmos Residence* Luxury & Stylish Apartment,591399489,Lagoumitzi,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9562845,23.7246899,Entire home/apt,57,1,0,,,7,319,0,00002783249
1212022189632701282,*Kosmos Residence* Luxury Stay in Athens,591399489,Lagoumitzi,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9562845,23.7246899,Entire home/apt,94,1,1,2024-08-31,1,7,350,1,00002783254
1212059867903457007,Spacious modern flat in Koukaki,4531173,Giorgos,,ΑΚΡΟΠΟΛΗ,37.963375750381715,23.718609282256875,Entire home/apt,76,2,2,2024-09-12,2,2,334,2,00002824272
